Số điện thoại,Trace ID,Request,Kênh đăng nhập,Thiết bị,Os,OsVersion,AppVersion,IMei,Trạng thái,Ngày yêu cầu,Ngày phản hồi,IPRequest,ResCode,Description,MsgCode,DescDetail,MID,MDESC,Phân loại dịch vụ bậc 1,Phân loại dịch vụ bậc 2
xxxxxxxx41,221672521685908,59,"PREMB_10.53.93.56:9080, MB_10.53.93.135:8081",vivo 1904,ANDROID,30,5.2.19,###bd3eddb176b2fd31###00000000-059a-ab42-ffff-ffffef05ac4a,Success,2023-10-26 18:10:54,2023-10-26 18:10:54,171.254.128.145:20745|10.53.54.81_Prod,00,Thành công,INFO-00,,59,Lấy thông tin version,Sử dụng thông thường,Lấy thông tin dịch vụ
xxxxxxxx41,44488789539150,231,"PREMB_10.53.93.127:9080, MB_10.53.93.84:8082",vivo 1904,ANDROID,30,5.2.19,###bd3eddb176b2fd31###00000000-059a-ab42-ffff-ffffef05ac4a,Success,2023-10-26 18:05:57,2023-10-26 18:05:57,171.254.128.145:46449|10.53.54.81_Prod,00,Thành công,00,,231,Thêm lịch sử topup,Thanh toán,Dịch vụ lịch sử Topup
xxxxxxxx41,928783495372783,116,"PREMB_10.53.93.58:9080, MB_10.53.93.80:8086",vivo 1904,ANDROID,30,5.2.19,###bd3eddb176b2fd31###00000000-059a-ab42-ffff-ffffef05ac4a,Success,2023-10-26 18:05:56,2023-10-26 18:05:54,171.254.128.145:12800|10.53.54.85_Prod,00,Success,00,,116,Xác nhận nạp tiền điện thoại,Dịch vụ khác,Dịch vụ nạp tiền điện thoại
xxxxxxxx41,601517252174806,115,"PREMB_10.53.93.58:9080, MB_10.53.93.80:8086",vivo 1904,ANDROID,30,5.2.19,###bd3eddb176b2fd31###00000000-059a-ab42-ffff-ffffef05ac4a,Success,2023-10-26 18:05:45,2023-10-26 18:05:45,171.254.128.145:40948|10.53.54.85_Prod,00,Thành công,INFO-00,,115,Khởi tạo nạp tiền điện thoại,Dịch vụ khác,Dịch vụ nạp tiền điện thoại
xxxxxxxx41,6521298476363,230,"PREMB_10.53.93.56:9080, MB_10.53.93.83:8082",vivo 1904,ANDROID,30,5.2.19,###bd3eddb176b2fd31###00000000-059a-ab42-ffff-ffffef05ac4a,Success,2023-10-26 18:05:35,2023-10-26 18:05:35,171.254.128.145:47066|10.53.54.91_Prod,00,Thành công,00,,230,Lấy lịch sử topup,Thanh toán,Dịch vụ lịch sử Topup
xxxxxxxx41,634765391427529,723,"PREMB_10.53.93.127:9080, MB_10.53.93.75:8083",vivo 1904,ANDROID,30,5.2.19,###bd3eddb176b2fd31###00000000-059a-ab42-ffff-ffffef05ac4a,False,2023-10-26 18:05:36,2023-10-26 18:05:35,171.254.128.145:40197|10.53.54.82_Prod,LOYALTY-15,Số dư tài khoản điểm của Khách hàng không đủ để thực hiện giao dịch đổi quà,LOYALTY-15,,723,Loyalty: kiểm tra điều kiện đổi quà omni,Dịch vụ khác,Dịch vụ khách hàng trung thành
xxxxxxxx41,231490097989696,10,"PREMB_10.53.93.64:9080, MB_10.53.93.70:8088",vivo 1904,ANDROID,30,5.2.19,###bd3eddb176b2fd31###00000000-059a-ab42-ffff-ffffef05ac4a,Success,2023-10-26 18:05:34,2023-10-26 18:05:34,171.254.128.145:7163|10.53.54.87_Prod,00,Thành công,INFO-00,,10,Lấy danh sách tài khoản,Sử dụng thông thường,Lấy thông tin giao dịch
xxxxxxxx41,442603584560051,59,"PREMB_10.53.93.54:9080, MB_10.53.93.67:8081",vivo 1904,ANDROID,30,5.2.19,###bd3eddb176b2fd31###00000000-059a-ab42-ffff-ffffef05ac4a,Success,2023-10-26 18:05:27,2023-10-26 18:05:27,171.254.128.145:35316|10.53.54.82_Prod,00,Thành công,INFO-00,,59,Lấy thông tin version,Sử dụng thông thường,Lấy thông tin dịch vụ
xxxxxxxx41,234077088818875,1,"PREMB_10.53.93.60:9080, MB_10.53.93.135:8081",vivo 1904,ANDROID,30,5.2.19,###bd3eddb176b2fd31###00000000-059a-ab42-ffff-ffffef05ac4a,Success,2023-10-26 18:05:24,2023-10-26 18:05:24,171.254.128.145:29107|10.53.54.89_Prod,777,"BIDV đã tích hợp phương thức xác thực Smart OTP trên SmartBanking đối với kênh Mobile và Internet cho phép Quý khách sử dụng và xác thực giao dịch thuận tiện, bảo mật với mã OTP. Quý khách vui lòng cài đặt Smart OTP và đặt mã PIN để bảo mật mã OTP khi xác thực giao dịch",AUTOACTIVESOTP-777,,1,Đăng nhập,Xác thực và Bảo mật,Đăng nhập
xxxxxxxx41,337065121228400,31,"PREMB_10.53.93.59:9080, MB_10.53.93.135:8081",vivo 1904,ANDROID,30,5.2.19,###bd3eddb176b2fd31###00000000-059a-ab42-ffff-ffffef05ac4a,Success,2023-10-26 18:05:02,2023-10-26 18:05:02,171.254.128.145:12325|10.53.54.83_Prod,00,Thành công,INFO-00,,31,Lấy danh sách Banner ,Sử dụng thông thường,Dịch vụ tùy biến ứng dụng
xxxxxxxx41,634472251571810,59,"PREMB_10.53.93.56:9080, MB_10.53.93.135:8081",vivo 1904,ANDROID,30,5.2.19,###bd3eddb176b2fd31###00000000-059a-ab42-ffff-ffffef05ac4a,Success,2023-10-26 18:05:02,2023-10-26 18:05:02,171.254.128.145:12315|10.53.54.81_Prod,00,Thành công,INFO-00,,59,Lấy thông tin version,Sử dụng thông thường,Lấy thông tin dịch vụ
xxxxxxxx41,726321013907957,59,"PREMB_10.53.93.54:9080, MB_10.53.93.68:8081",vivo 1904,ANDROID,30,5.2.19,###bd3eddb176b2fd31###00000000-059a-ab42-ffff-ffffef05ac4a,Success,2023-10-26 06:50:49,2023-10-26 06:50:49,27.66.48.160:55546|10.53.54.82_Prod,00,Thành công,INFO-00,,59,Lấy thông tin version,Sử dụng thông thường,Lấy thông tin dịch vụ
xxxxxxxx41,469298757927307,101,"PREMB_10.53.93.64:9080, MB_10.53.93.73:8088",vivo 1904,ANDROID,30,5.2.19,###bd3eddb176b2fd31###00000000-059a-ab42-ffff-ffffef05ac4a,Success,2023-10-26 06:45:48,2023-10-26 06:45:48,27.66.48.160:31083|10.53.54.72_Prod,00,Success,INFO-00,,101,Xác nhận chuyển khoản nội bộ,Chuyển tiền,Dịch vụ chuyển khoản nội bộ
xxxxxxxx41,843163876589671,100,"PREMB_10.53.93.65:9080, MB_10.53.93.74:8088",vivo 1904,ANDROID,30,5.2.19,###bd3eddb176b2fd31###00000000-059a-ab42-ffff-ffffef05ac4a,Success,2023-10-26 06:45:40,2023-10-26 06:45:40,27.66.48.160:41084|10.53.54.72_Prod,00,Thành công,INFO-00,,100,Khởi tạo chuyển khoản nội bộ,Chuyển tiền,Dịch vụ chuyển khoản nội bộ
xxxxxxxx41,426857713243152,10,"PREMB_10.53.93.136:9080, MB_10.53.93.70:8088",vivo 1904,ANDROID,30,5.2.19,###bd3eddb176b2fd31###00000000-059a-ab42-ffff-ffffef05ac4a,Success,2023-10-26 06:44:18,2023-10-26 06:44:18,27.66.48.160:58343|10.53.54.87_Prod,00,Thành công,INFO-00,,10,Lấy danh sách tài khoản,Sử dụng thông thường,Lấy thông tin giao dịch
xxxxxxxx41,392607696618072,202,"PREMB_10.53.93.55:9080, MB_10.53.93.76:8083",vivo 1904,ANDROID,30,5.2.19,###bd3eddb176b2fd31###00000000-059a-ab42-ffff-ffffef05ac4a,Success,2023-10-26 06:44:18,2023-10-26 06:44:18,27.66.48.160:10412|10.53.54.82_Prod,00,Success,00,,202,Lấy danh sách ngân hàng ck ngoài,Lấy thông tin,Lấy thông tin giao dịch
